id,name,long_name,battle_requirement,first_clear_reward,acquire_cost,resource_requirement,ship_choice_class,ship_cost_requirement,resource_reward,upgrade_is_temporary,contribution_upgrade,hazard
g2_8_b8,B8,,galaxy2_battle8,"[{""upgrade"":""G2TransitSpeed""}]",,[],,,"[{""amount"":45,""resource"":""galaxy2FleetScrap""}]",false,,
g2_8_fr_recycling,RM,,,[],,[],,,[],false,G2FRR,
g2_9_fr_a,A3,,,[],,"[{""amount"":30,""resource"":""galaxy2FleetResources""}]",,,"[{""amount"":30,""resource"":""galaxy2Artifact""}]",true,,
g2_10_b9,B9,,galaxy2_battle9,"[{""upgrade"":""G2UnlockG3""},{""upgrade"":""G2TransitSpeedFinal""}]",,[],,,"[{""amount"":50,""resource"":""galaxy2FleetScrap""}]",false,,
g2_10_fr_a,A4,,,[],,"[{""amount"":40,""resource"":""galaxy2FleetResources""}]",,,"[{""amount"":30,""resource"":""galaxy2Artifact""}]",false,,
g3_1_b1,B1,,galaxy3_battle1,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":10,""resource"":""galaxy3FleetScrap""}]",false,,
g3_1_gf,GF,,,[],,[],,,[],false,G3Foothold,
g3_1_fr_lsc,L1,,,[],,"[{""amount"":20,""resource"":""galaxy3FleetResources""}]",light,,[],true,,
g3_2_fr_a,A1,,,[],,"[{""amount"":10,""resource"":""galaxy3FleetResources""}]",,,"[{""amount"":10,""resource"":""galaxy3Artifact""}]",true,,
g3_2_fr_maxfr,R1,,,[],,[],,,[],false,G3FRMax,
g3_2_fs_stats,S1,,,[],,[],,,[],false,G3BattleEarly,
g3_3_b2a,B2A,,galaxy3_battle2a,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy3FleetScrap""}]",false,,
g3_3_b3a,B3A,,galaxy3_battle3a,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy3FleetScrap""}]",false,,
g3_3_frigate_armor_mod,AR,Armor Foundry,,[],,[],,,[],false,G3FrigateArmorUnlock,
g3_3_b2b,B2B,,galaxy3_battle2b,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy3FleetScrap""}]",false,,
g3_3_b3b,B3B,,galaxy3_battle3b,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy3FleetScrap""}]",false,,
g3_3_corvette_shield_mod,SH,Shield Foundry,,[],,[],,,[],false,G3CorvetteShieldUnlock,
g3_4_b4a,B4A,,galaxy3_battle4a,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy3FleetScrap""}]",false,,
g3_4_fs_statsa,S2A,,,[],,[],,,[],false,G3Battle,
g3_4_fr_aa,A2A,,,[],,"[{""amount"":20,""resource"":""galaxy3FleetResources""}]",,,"[{""amount"":20,""resource"":""galaxy3Artifact""}]",true,,
g3_4_b4b,B4B,,galaxy3_battle4b,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy3FleetScrap""}]",false,,
g3_4_fs_statsb,S2B,,,[],,[],,,[],false,G3Battle,
g3_4_fr_ab,A2B,,,[],,"[{""amount"":20,""resource"":""galaxy3FleetResources""}]",,,"[{""amount"":20,""resource"":""galaxy3Artifact""}]",true,,
g3_4_fr_lsc,L2,,,[],,[],light,,[],true,,
g3_4_bb1,BB1,,galaxy3_basebattle1,"[{""upgrade"":""G3FixtureUpgrade""}]",,[],,,"[{""amount"":60,""resource"":""galaxy3FleetScrap""}]",false,,
g3_5_b5a,B5A,,galaxy3_battle5a,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy3FleetScrap""}]",false,,
g3_5_fr_maxfra,R2A,,,[],,[],,,[],false,G3FRMax,
g3_5_temp_statsa,TPA,,,[],,[],,,[],true,G3TempBattle,
g3_5_b5b,B5B,,galaxy3_battle5b,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy3FleetScrap""}]",false,,
g3_5_fr_maxfrb,R2B,,,[],,[],,,[],false,G3FRMax,
g3_5_temp_statsb,TPB,,,[],,[],,,[],true,G3TempBattle,
g3_6_b6a,B6A,,galaxy3_battle6a,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy3FleetScrap""}]",false,,
g3_6_b7a,B7A,,galaxy3_battle7a,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy3FleetScrap""}]",false,,
g3_6_fr_aa,A3A,,,[],,"[{""amount"":30,""resource"":""galaxy3FleetResources""}]",,,"[{""amount"":30,""resource"":""galaxy3Artifact""}]",true,,
g3_6_b6b,B6B,,galaxy3_battle6b,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy3FleetScrap""}]",false,,
g3_6_b7b,B7B,,galaxy3_battle7b,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy3FleetScrap""}]",false,,
g3_6_fr_ab,A3B,,,[],,"[{""amount"":30,""resource"":""galaxy3FleetResources""}]",,,"[{""amount"":30,""resource"":""galaxy3Artifact""}]",true,,
g3_6_b8,B8,,galaxy3_battle8,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":35,""resource"":""galaxy3FleetScrap""}]",false,,
g3_6_fr_msc,M1,,,[],,"[{""amount"":20,""resource"":""galaxy3FleetResources""}]",medium,,[],true,,
g3_7_b9,B9,,galaxy3_battle9,"[{""upgrade"":""G3TransitSpeed""}]",,[],,,"[{""amount"":40,""resource"":""galaxy3FleetScrap""}]",false,,
g3_7_fr_recycling,RM,,,[],,[],,,[],false,G3FRR,
g3_8_fr_a,A4,,,[],,"[{""amount"":40,""resource"":""galaxy3FleetResources""}]",,,"[{""amount"":40,""resource"":""galaxy3Artifact""}]",true,,
g3_9_b10,B10,,galaxy3_battle10,"[{""upgrade"":""G3UnlockG4""},{""upgrade"":""G3TransitSpeedFinal""}]",,[],,,"[{""amount"":45,""resource"":""galaxy3FleetScrap""}]",false,,
g3_9_fr_aa,A5,,,[],,"[{""amount"":40,""resource"":""galaxy3FleetResources""}]",,,"[{""amount"":40,""resource"":""galaxy3Artifact""}]",false,,
g4_b1,B1,,galaxy4_battle1,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":10,""resource"":""galaxy4FleetScrap""}]",false,,
g4_gf,GF,,,[],,[],,,[],false,G4Foothold,
g4_fr_lsc,L1,,,[],,"[{""amount"":20,""resource"":""galaxy4FleetResources""}]",light,,[],true,,
g4_fr_a,A1,,,[],,"[{""amount"":10,""resource"":""galaxy4FleetResources""}]",,,"[{""amount"":10,""resource"":""galaxy4Artifact""}]",true,,
g4_fs_maxfr,R1,,,[],,[],,,[],false,G4FRMaxLow,
g4_fs_stats,S1,,,[],,[],,,[],false,G4BattleLow,
g4_b2,B2,,galaxy4_battle2,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy4FleetScrap""}]",false,,
g4_b3,B3,,galaxy4_battle3,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fr_a2,A2,,,[],,"[{""amount"":20,""resource"":""galaxy4FleetResources""}]",,,"[{""amount"":20,""resource"":""galaxy4Artifact""}]",true,,
g4_b4,B4,,galaxy4_battle4,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fr_fighter_unlock,FF,Fighter Foundry,,[],,[],,,[],false,G4FighterUnlock,
g4_b5,B5,,galaxy4_battle5,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fs_stats2,S2,,,[],,[],,,[],false,G4BattleMedium,
g4_b6,B6,,galaxy4_battle6,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fr_lsc2,L2,,,[],,"[{""amount"":20,""resource"":""galaxy4FleetResources""}]",light,,[],true,,
g4_b7,B7,,galaxy4_battle7,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fs_maxfr2,R2,,,[],,[],,,[],false,G4FRMaxMedium,
g4_b8,B8,,galaxy4_battle8,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy4FleetScrap""}]",false,,
g4_bb1,BB1,,galaxy4_basebattle1,"[{""upgrade"":""G4SectorJumpUnlock""}]",,[],,,"[{""amount"":45,""resource"":""galaxy4FleetScrap""}]",false,,
g4_b9,B9,,galaxy4_battle9,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy4FleetScrap""}]",false,,
g4_b10,B10,,galaxy4_battle10,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fs_maxfr3,R3,,,[],,[],,,[],false,G4FRMaxSmall,
g4_fr_a3,A3,,,[],,"[{""amount"":40,""resource"":""galaxy4FleetResources""}]",,,"[{""amount"":40,""resource"":""galaxy4Artifact""}]",true,,
g4_b11,B11,,galaxy4_battle11,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fr_fighter_start,FP,Fighter Printer,,[],,[],,,[],false,G4FighterStart,
g4_b12,B12,,galaxy4_battle12,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fs_stats3,S3,,,[],,[],,,[],false,G4BattleSmall,
g4_b13,B13,,galaxy4_battle13,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":35,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fr_fighter_kinetic,MR,Mini Rail Gun Foundry,,[],,[],,,[],false,G4FighterMiniRailgunUnlock,
g4_b14,B14,,galaxy4_battle14,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":35,""resource"":""galaxy4FleetScrap""}]",false,,
g4_b15,B15,,galaxy4_battle15,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":35,""resource"":""galaxy4FleetScrap""}]",false,,
g4_bb2,BB2,,galaxy4_basebattle2,"[{""upgrade"":""G4AlienSynth""}]",,[],,,"[{""amount"":55,""resource"":""galaxy4FleetScrap""}]",false,,
g4_b16,B16,,galaxy4_battle16,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":35,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fr_msc,M1,,,[],,"[{""amount"":30,""resource"":""galaxy4FleetResources""}]",medium,,[],true,,
g4_b17,B17,,galaxy4_battle17,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":40,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fs_maxfr4,R4,,,[],,[],,,[],false,G4FRMaxFinal,
g4_b18,B18,,galaxy4_battle18,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":40,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fr_a4,A4,,,[],,"[{""amount"":60,""resource"":""galaxy4FleetResources""}]",,,"[{""amount"":60,""resource"":""galaxy4Artifact""}]",true,,
g4_b19,B19,,galaxy4_battle19,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":45,""resource"":""galaxy4FleetScrap""}]",false,,
g4_b20,B20,,galaxy4_battle20,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":45,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fs_maxfr5,R5,,,[],,[],,,[],false,G4FRMaxBig,
g4_b21,B21,,galaxy4_battle21,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":50,""resource"":""galaxy4FleetScrap""}]",false,,
g4_b22,B22,,galaxy4_battle22,"[{""upgrade"":""G4TransitSpeed""}]",,[],,,"[{""amount"":60,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fs_maxfr6,R6,,,[],,[],,,[],false,G4FRMaxBig,
g4_fr_a5,A5,,,[],,"[{""amount"":80,""resource"":""galaxy4FleetResources""}]",,,"[{""amount"":80,""resource"":""galaxy4Artifact""}]",true,,
g4_b23,B23,,galaxy4_battle23,"[{""upgrade"":""G4UnlockUT""},{""upgrade"":""G4UnlockG5""},{""upgrade"":""G4TransitFinal""}]",,[],,,"[{""amount"":100,""resource"":""galaxy4FleetScrap""}]",false,,
g4_fr_a6a,A6,,,[],,"[{""amount"":50,""resource"":""galaxy4FleetResources""}]",,,"[{""amount"":50,""resource"":""galaxy4Artifact""}]",false,,
g5_b1,B1,,galaxy5_battle1,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":10,""resource"":""galaxy5FleetScrap""}]",false,,
g5_gf,GF,,,[],,[],,,[],false,G5Foothold,
g5_fr_lsc1,L1,,,[],,"[{""amount"":20,""resource"":""galaxy5FleetResources""}]",light,,[],true,,
g5_b2,B2,,galaxy5_battle2,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":10,""resource"":""galaxy5FleetScrap""}]",false,,
g5_bb1,BB1,,galaxy5_basebattle1,"[{""upgrade"":""G5ComputeSpecUpgrade""}]",,[],,,"[{""amount"":45,""resource"":""galaxy5FleetScrap""}]",false,,
g5a_fr_a1,A1A,,,[],,"[{""amount"":25,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":25,""resource"":""galaxy5Artifact""}]",true,,
g5a_b3,B3A,,galaxy5a_battle3,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":10,""resource"":""galaxy5FleetScrap""}]",false,,
g5a_fs_maxfr1,R1A,,,[],,[],,,[],false,G5FRMaxLow,
g5a_b4,B4A,,galaxy5a_battle4,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy5FleetScrap""}]",false,,
g5a_db1,D1A,,,[],,"[{""amount"":150,""reduction_per_visit"":0.5,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",true,,
g5a_b5,B5A,,galaxy5a_battle5,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy5FleetScrap""}]",false,,
g5a_b6,B6A,,galaxy5a_battle6,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,"[{""nodes_effected"":[{""fleet_event"":""g5a_b3""},{""fleet_event"":""g5a_b4""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":0,""grid_y"":2,""ship"":""EnemyArmor"",""time_spawning"":1.5,""total_time_to_spawn"":2.5}],""repeat"":false,""type"":""reinforcements""},{""nodes_effected"":[{""fleet_event"":""g5a_b5""}],""reinforcement_details"":[{""difficulty_mod"":0.5,""difficulty_type"":""Multiplicative"",""grid_x"":0,""grid_y"":0,""ship"":""EnemySkirmisher"",""time_spawning"":1.5,""total_time_to_spawn"":2.5},{""difficulty_mod"":0.5,""difficulty_type"":""Multiplicative"",""grid_x"":0,""grid_y"":4,""ship"":""EnemySkirmisher"",""time_spawning"":1.5,""total_time_to_spawn"":2.5}],""repeat"":false,""type"":""reinforcements""},{""nodes_effected"":[{""fleet_event"":""g5a_b6""},{""fleet_event"":""g5_bb1""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":""Multiplicative"",""grid_x"":0,""grid_y"":0,""ship"":""EnemySkirmisher"",""time_spawning"":1,""total_time_to_spawn"":6},{""difficulty_mod"":1,""difficulty_type"":""Multiplicative"",""grid_x"":0,""grid_y"":4,""ship"":""EnemySkirmisher"",""time_spawning"":1,""total_time_to_spawn"":6}],""repeat"":true,""type"":""reinforcements""}]"
g5a_fr_a2,A2A,,,[],,"[{""amount"":50,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":50,""resource"":""galaxy5Artifact""}]",true,,
g5a_fs_stats1,S2A,,,[],,[],,,[],false,G5BattleMid,
g5a_b7,B7A,,galaxy5a_battle7,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,
g5a_fr_msc1,M1A,,,[],,"[{""amount"":40,""resource"":""galaxy5FleetResources""}]",medium,,[],true,,
g5a_b8,B8A,,galaxy5a_battle8,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,
g5a_b9,B9A,,galaxy5a_battle9,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,
g5a_b10,B10A,,galaxy5a_battle10,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,
g5a_fs_stats2,S3A,,,[],,[],,,[],false,G5BattleMidSmall,
g5a_b11,B11A,,galaxy5a_battle11,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,"[{""damage_details"":[{""damage"":10,""interval"":2.5,""volley_size"":15}],""nodes_effected"":[{""fleet_event"":""g5a_b9""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":15,""interval"":2.5,""volley_size"":20}],""nodes_effected"":[{""fleet_event"":""g5a_b10""},{""fleet_event"":""g5_b13""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":30,""interval"":2.5,""volley_size"":20}],""nodes_effected"":[{""fleet_event"":""g5_b14""}],""repeat"":false,""type"":""laser_volley""},{""damage_details"":[{""damage"":20,""interval"":4,""volley_size"":20}],""nodes_effected"":[{""fleet_event"":""g5a_b11""}],""repeat"":true,""type"":""laser_volley""}]"
g5a_b12,B12A,,galaxy5a_battle12,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,
g5a_db2,D2A,,,[],,"[{""amount"":200,""reduction_per_visit"":0.5,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",true,,
g5b_fr_a1,A1B,,,[],,"[{""amount"":25,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":25,""resource"":""galaxy5Artifact""}]",true,,
g5b_b3,B3B,,galaxy5b_battle3,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":10,""resource"":""galaxy5FleetScrap""}]",false,,
g5b_fs_stats1,S1B,,,[],,[],,,[],false,G5BattleLow,
g5b_b4,B4B,,galaxy5b_battle4,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy5FleetScrap""}]",false,,
g5b_db1,D1B,,,[],,"[{""amount"":150,""reduction_per_visit"":0.5,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",true,,
g5b_b5,B5B,,galaxy5b_battle5,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy5FleetScrap""}]",false,,
g5b_b6,B6B,,galaxy5b_battle6,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,"[{""nodes_effected"":[{""fleet_event"":""g5b_b3""},{""fleet_event"":""g5b_b4""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":0,""grid_y"":2,""ship"":""EnemyShield"",""time_spawning"":1.5,""total_time_to_spawn"":2.5}],""repeat"":false,""type"":""reinforcements""},{""nodes_effected"":[{""fleet_event"":""g5b_b5""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":0,""grid_y"":0,""ship"":""EnemyShotgun"",""time_spawning"":1.5,""total_time_to_spawn"":2.5},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":0,""grid_y"":4,""ship"":""EnemyShotgun"",""time_spawning"":1.5,""total_time_to_spawn"":2.5}],""repeat"":false,""type"":""reinforcements""},{""nodes_effected"":[{""fleet_event"":""g5b_b6""},{""fleet_event"":""g5_bb1""}],""reinforcement_details"":[{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":0,""ship"":""EnemyShotgun"",""time_spawning"":1,""total_time_to_spawn"":6},{""difficulty_mod"":1,""difficulty_type"":"""",""grid_x"":1,""grid_y"":4,""ship"":""EnemyShotgun"",""time_spawning"":1,""total_time_to_spawn"":6}],""repeat"":true,""type"":""reinforcements""}]"
g5b_fr_a2,A2B,,,[],,"[{""amount"":50,""resource"":""galaxy5FleetResources""}]",,,"[{""amount"":50,""resource"":""galaxy5Artifact""}]",true,,
g5b_fs_maxfr1,R2B,,,[],,[],,,[],false,G5FRMaxMid,
g5b_b7,B7B,,galaxy5b_battle7,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,
g5b_fr_msc1,M1B,,,[],,"[{""amount"":40,""resource"":""galaxy5FleetResources""}]",medium,,[],true,,
g5b_b8,B8B,,galaxy5b_battle8,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,
g5b_b9,B9B,,galaxy5b_battle9,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,
g5b_b10,B10B,,galaxy5b_battle10,"[{""upgrade"":""G5TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy5FleetScrap""}]",false,,
